,Company size,Total views,Date,Impressions (total),Unique impressions (organic),Clicks (total),Reactions (total),Comments (total),Shares (total),Engagement rate (total),Industry,Total followers,Job function,Sponsored followers,Organic followers,Seniority,Location,Update title,Update type,Created date,Audience,Impressions,Clicks,Click through rate (CTR),Likes,Comments,Shares,Engagement rate,Content Type,Overview page views (desktop),Overview page views (mobile),Overview page views (total),Overview unique visitors (desktop),Overview unique visitors (mobile),Overview unique visitors (total),Jobs page views (desktop),Jobs page views (mobile),Jobs page views (total),Jobs unique visitors (desktop),Jobs unique visitors (mobile),Jobs unique visitors (total),Total page views (desktop),Total page views (mobile),Total page views (total),Total unique visitors (desktop),Total unique visitors (mobile),Total unique visitors (total)
0,1,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2-10,2768.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,11-50,2402.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,51-200,2146.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,201-500,1417.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,501-1000,1468.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,1001-5000,2016.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,5001-10000,894.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,10001+,6088.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,,,03/30/2021,17.0,13.0,1.0,0.0,0.0,0.0,0.0588235294117647,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,,,03/31/2021,14.0,10.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,,,04/01/2021,13.0,9.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,,,04/02/2021,271.0,107.0,12.0,10.0,0.0,0.0,0.081180811808118,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,,,04/03/2021,250.0,171.0,19.0,12.0,4.0,3.0,0.152,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,,,04/04/2021,186.0,111.0,19.0,3.0,1.0,1.0,0.1290322580645161,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,,,04/05/2021,162.0,54.0,17.0,8.0,0.0,2.0,0.1666666666666666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,,,04/06/2021,100.0,47.0,5.0,3.0,0.0,1.0,0.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,,,04/07/2021,74.0,43.0,3.0,0.0,0.0,0.0,0.0405405405405405,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,,,04/08/2021,630.0,391.0,31.0,36.0,1.0,7.0,0.119047619047619,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,,,04/09/2021,744.0,472.0,62.0,30.0,2.0,6.0,0.1344086021505376,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,,,04/10/2021,873.0,443.0,59.0,33.0,3.0,4.0,0.1134020618556701,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,,,04/11/2021,517.0,281.0,51.0,11.0,1.0,1.0,0.1237911025145067,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,,,04/12/2021,276.0,148.0,19.0,8.0,0.0,0.0,0.0978260869565217,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,,,04/13/2021,259.0,165.0,9.0,8.0,0.0,1.0,0.0694980694980695,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,,,04/14/2021,130.0,58.0,6.0,5.0,0.0,1.0,0.0923076923076923,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
