Date,Sponsored followers,Organic followers,Total followers
10/31/2021,0,30,30
11/01/2021,0,45,45
11/02/2021,0,28,28
11/03/2021,0,12,12
11/04/2021,0,8,8
11/05/2021,0,20,20
11/06/2021,0,22,22
11/07/2021,0,27,27
11/08/2021,0,19,19
11/09/2021,0,18,18
11/10/2021,0,13,13
11/11/2021,0,25,25
11/12/2021,0,11,11
11/13/2021,0,11,11
11/14/2021,0,13,13
11/15/2021,0,11,11
11/16/2021,0,8,8
11/17/2021,0,5,5
11/18/2021,0,9,9
11/19/2021,0,36,36
11/20/2021,0,15,15
11/21/2021,0,10,10
11/22/2021,0,12,12
11/23/2021,0,9,9
11/24/2021,0,5,5
11/25/2021,0,6,6
11/26/2021,0,4,4
11/27/2021,0,3,3
11/28/2021,0,6,6
11/29/2021,0,14,14
11/30/2021,0,4,4
12/01/2021,0,4,4
12/02/2021,0,5,5
12/03/2021,0,15,15
12/04/2021,0,6,6
12/05/2021,0,4,4
12/06/2021,0,1,1
12/07/2021,0,28,28
12/08/2021,0,18,18
12/09/2021,0,13,13
12/10/2021,0,10,10
12/11/2021,0,3,3
12/12/2021,0,11,11
12/13/2021,0,6,6
12/14/2021,0,10,10
12/15/2021,0,6,6
12/16/2021,0,7,7
12/17/2021,0,8,8
12/18/2021,0,4,4
12/19/2021,0,9,9
12/20/2021,0,4,4
12/21/2021,0,7,7
12/22/2021,0,12,12
12/23/2021,0,12,12
12/24/2021,0,7,7
12/25/2021,0,3,3
12/26/2021,0,5,5
12/27/2021,0,4,4
12/28/2021,0,2,2
12/29/2021,0,5,5
12/30/2021,0,29,29
12/31/2021,0,7,7
01/01/2022,0,14,14
01/02/2022,0,15,15
01/03/2022,0,30,30
01/04/2022,0,49,49
01/05/2022,0,16,16
01/06/2022,0,9,9
01/07/2022,0,12,12
01/08/2022,0,3,3
01/09/2022,0,8,8
01/10/2022,0,3,3
01/11/2022,0,9,9
01/12/2022,0,14,14
01/13/2022,0,8,8
01/14/2022,0,3,3
01/15/2022,0,3,3
01/16/2022,0,3,3
01/17/2022,0,8,8
01/18/2022,0,6,6
01/19/2022,0,5,5
01/20/2022,0,13,13
01/21/2022,0,5,5
01/22/2022,0,10,10
01/23/2022,0,9,9
01/24/2022,0,12,12
01/25/2022,0,14,14
01/26/2022,0,9,9
01/27/2022,0,29,29
01/28/2022,0,17,17
01/29/2022,0,15,15
01/30/2022,0,8,8
01/31/2022,0,9,9
02/01/2022,0,15,15
02/02/2022,0,9,9
