,Date,Overview page views (desktop),Overview page views (mobile),Overview page views (total),Overview unique visitors (desktop),Overview unique visitors (mobile),Overview unique visitors (total),Jobs page views (desktop),Jobs page views (mobile),Jobs page views (total),Jobs unique visitors (desktop),Jobs unique visitors (mobile),Jobs unique visitors (total),Total page views (desktop),Total page views (mobile),Total page views (total),Total unique visitors (desktop),Total unique visitors (mobile),Total unique visitors (total)
321,01/16/2022,7,40,47,4,17,21,0,3,3,0,1,1,8,74,82,4,17,21
322,01/17/2022,3,24,27,2,8,10,0,0,0,0,0,0,3,42,45,2,8,10
323,01/18/2022,14,20,34,4,7,11,0,0,0,0,0,0,14,31,45,4,7,11
324,01/19/2022,14,21,35,8,6,14,1,0,1,1,0,1,16,32,48,8,6,14
325,01/20/2022,22,43,65,9,16,24,0,2,2,0,2,2,23,60,83,9,16,24
326,01/21/2022,6,57,63,5,22,26,0,0,0,0,0,0,8,78,86,5,22,26
327,01/22/2022,2,62,64,2,25,27,0,0,0,0,0,0,2,91,93,2,25,27
328,01/23/2022,2,53,55,2,24,26,0,0,0,0,0,0,2,94,96,2,24,26
329,01/24/2022,29,44,73,13,13,24,0,0,0,0,0,0,29,77,106,13,13,24
330,01/25/2022,32,82,114,14,29,42,0,0,0,0,0,0,36,123,159,14,29,42
331,01/26/2022,12,56,68,8,23,27,0,0,0,0,0,0,12,83,95,8,23,27
332,01/27/2022,33,65,98,17,25,42,0,0,0,0,0,0,33,101,134,17,25,42
333,01/28/2022,29,71,100,9,28,37,0,0,0,0,0,0,33,106,139,9,28,37
334,01/29/2022,21,69,90,9,26,35,0,0,0,0,0,0,22,93,115,9,26,35
335,01/30/2022,13,61,74,6,21,26,0,0,0,0,0,0,14,86,100,6,21,26
336,01/31/2022,19,36,55,12,14,26,0,0,0,0,0,0,19,58,77,12,14,26
337,02/01/2022,19,41,60,13,19,32,2,3,5,1,1,2,24,65,89,13,19,32
338,02/02/2022,29,22,51,13,8,20,0,0,0,0,0,0,31,36,67,13,8,20
339,02/03/2022,17,26,43,6,12,18,0,0,0,0,0,0,18,42,60,6,12,18
340,02/04/2022,6,26,32,3,9,12,0,2,2,0,1,1,6,46,52,3,9,12
341,02/05/2022,16,28,44,7,12,19,0,0,0,0,0,0,17,43,60,7,12,19
342,02/06/2022,19,120,139,15,58,72,1,0,1,1,0,1,22,183,205,15,58,72
343,02/07/2022,29,59,88,13,23,34,2,1,3,1,1,2,31,91,122,13,23,34
344,02/08/2022,28,39,67,10,20,29,1,0,1,1,0,1,29,68,97,10,20,29
345,02/09/2022,29,62,91,13,29,41,0,1,1,0,1,1,33,87,120,13,29,41
346,02/10/2022,26,88,114,9,35,44,0,1,1,0,1,1,26,133,159,9,35,44
347,02/11/2022,16,37,53,6,17,22,0,1,1,0,1,1,18,60,78,6,17,22
348,02/12/2022,19,50,69,9,19,28,0,0,0,0,0,0,21,72,93,9,19,28
349,02/13/2022,21,33,54,9,13,22,0,0,0,0,0,0,22,50,72,9,13,22
350,02/14/2022,19,52,71,11,17,28,0,0,0,0,0,0,19,81,100,11,17,28
351,02/15/2022,9,46,55,8,14,21,0,0,0,0,0,0,9,59,68,8,14,21
352,02/16/2022,22,56,78,10,30,40,0,0,0,0,0,0,22,90,112,10,30,40
353,02/17/2022,28,85,113,20,30,49,3,1,4,2,1,3,38,123,161,20,30,49
354,02/18/2022,25,21,46,12,10,22,0,0,0,0,0,0,26,28,54,12,10,22
355,02/19/2022,16,106,122,10,43,52,0,1,1,0,1,1,16,158,174,10,43,52
356,02/20/2022,35,113,148,9,46,53,0,2,2,0,2,2,36,177,213,9,46,53
357,02/21/2022,17,42,59,9,15,24,0,0,0,0,0,0,17,59,76,9,15,24
358,02/22/2022,27,97,124,12,35,46,0,0,0,0,0,0,29,146,175,12,35,46
359,02/23/2022,16,75,91,12,20,32,0,0,0,0,0,0,18,126,144,12,20,32
360,02/24/2022,13,65,78,6,21,26,0,0,0,0,0,0,13,105,118,6,21,26
361,02/25/2022,15,84,99,9,29,36,0,0,0,0,0,0,16,117,133,9,29,36
362,02/26/2022,7,24,31,4,8,12,0,0,0,0,0,0,7,35,42,4,8,12
363,02/27/2022,13,71,84,9,32,41,0,0,0,0,0,0,14,103,117,9,32,41
364,02/28/2022,19,36,55,10,14,24,0,0,0,0,0,0,24,53,77,10,14,24
